feature,importance
volume_cm3,0.2445837950823473
product_weight_g,0.23220072011379553
daily_turnover,0.18729535873285205
category_group_electronics,0.17237743401178693
product_length_cm,0.0661766837492234
category_group_fashion,0.0571409123222889
avg_price,0.019996899584516947
price_per_kg,0.004039492162376712
category_group_housewares,0.002593548639355599
category_group_other,0.0023516504340773186
volumetric_density,0.0023295286590297704
product_width_cm,0.001818769714131686
avg_freight,0.0018074129260912467
category_group_toys_baby,0.0017006325195479273
product_height_cm,0.001413873766718438
category_group_sports_leisure,0.0006527457057040231
category_group_books_media,0.0005355540091819021
category_group_beauty_health,0.0005030092514982392
category_group_stationery,0.0004819786154760366
category_group_food_drinks,0.0
category_group_home_garden,0.0
category_group_furniture,0.0
category_group_home_appliances,0.0
