k,mean_f1_macro,std_f1_macro,mean_accuracy,std_accuracy
3,0.9186938575748054,0.007510131767324262,0.9344056824224166,0.0048694765874559235
5,0.9216404428823302,0.00848931750819349,0.9370613506664144,0.005927475071200488
7,0.919934057514849,0.007804605116658735,0.9356955874745113,0.005575471959600383
10,0.9174679776226796,0.005819104936189009,0.9338366528106807,0.004476291816133476
